phylum,rank,AUROC,AUPR
Annelida,class,0.8894312437796743,0.866840198682233
Arthropoda,class,0.9852460268355723,0.9779801766896349
Chordata,class,0.9803535091173268,0.9725784681354783
Cnidaria,class,0.9467178893915897,0.9319141273303704
Echinodermata,class,0.970317416455194,0.9698375517315815
Mollusca,class,0.9851278476236585,0.9845758411504466
Nematoda,class,0.918743238878616,0.9152523730902206
Platyhelminthes,class,0.9075702532832937,0.9111347965741425
Annelida,order,0.8654162206312016,0.7841370331776426
Arthropoda,order,0.9787591110492835,0.9680022876734062
Chordata,order,0.9620963914016775,0.9057570459740211
Cnidaria,order,0.9571411388066752,0.9342942281677746
Echinodermata,order,0.9450439055627085,0.9200035060714478
Mollusca,order,0.9452406614368912,0.8980517005860401
Nematoda,order,0.9458947929797422,0.919420458013816
Platyhelminthes,order,0.9361256837852168,0.9400706727784215
Annelida,family,0.8829279893495441,0.7819467471308489
Arthropoda,family,0.9678717653252549,0.9363700639169052
Chordata,family,0.9612068210071625,0.9109385565606072
Cnidaria,family,0.9281235506662628,0.8788813513973421
Echinodermata,family,0.9443789738389372,0.9192351510678941
Mollusca,family,0.9304532264340395,0.8681588484201759
Nematoda,family,0.9083872781034119,0.8416211279329918
Platyhelminthes,family,0.9558893003279372,0.9551550208597905
Annelida,genus,0.8715764640919917,0.7685434514253499
Arthropoda,genus,0.9523820744336574,0.9021941378757907
Chordata,genus,0.9403506313666379,0.8719584687885356
Cnidaria,genus,0.9158441549049792,0.8694038995650861
Echinodermata,genus,0.950558974232838,0.9069779426021835
Mollusca,genus,0.9074116269521517,0.8229025538474043
Nematoda,genus,0.9054638483096267,0.8187962670837579
Platyhelminthes,genus,0.9577784468350916,0.9570704886873129
Annelida,species,0.8751641209046128,0.7392304881308495
Arthropoda,species,0.9564830012026571,0.9298419791096604
Chordata,species,0.8552280040704949,0.7092016562385686
Cnidaria,species,0.6650176474871196,0.48063579618305075
Echinodermata,species,0.9310268993038955,0.8259145234303491
Mollusca,species,0.8632934399859025,0.7099754998962469
Nematoda,species,0.937825082954862,0.8975925242981773
Platyhelminthes,species,0.9114107875982713,0.7462244598380735
