phylum,rank,AUROC,AUPR
Annelida,class,0.9994450094363837,0.999267041072112
Arthropoda,class,0.9999473162032029,0.9994677592306339
Chordata,class,0.9997225024144651,0.9991928637041189
Cnidaria,class,0.993407212321779,0.992332903156036
Echinodermata,class,1.0,0.9994994994994995
Mollusca,class,0.9996706369603354,0.9980745206488916
Nematoda,class,1.0,0.9994994994994995
Platyhelminthes,class,1.0,0.9994994994994995
Annelida,order,0.9998456837884591,0.9983988421142942
Arthropoda,order,0.9998814319124805,0.9990855412527466
Chordata,order,0.9980553700342782,0.9907810560537124
Cnidaria,order,0.9984200158541165,0.9937416472840785
Echinodermata,order,1.0,0.9994994994994995
Mollusca,order,0.9995254732041571,0.9987282622127849
Nematoda,order,1.0,0.9994994994994995
Platyhelminthes,order,1.0,0.9994994994994995
Annelida,family,0.9925281954887218,0.9869628521617944
Arthropoda,family,0.9988190411372698,0.9959183232563165
Chordata,family,0.9975946307545006,0.9886152085292749
Cnidaria,family,0.9990971952933915,0.9976397819240662
Echinodermata,family,1.0,0.9994994994994995
Mollusca,family,0.9980113407902349,0.9936830910127654
Nematoda,family,1.0,0.9994994994994995
Platyhelminthes,family,1.0,0.9994994994994995
Annelida,genus,0.9935492468700543,0.9877616094349071
Arthropoda,genus,0.9982693300296468,0.994137088212752
Chordata,genus,0.9953387351864648,0.979441082400994
Cnidaria,genus,0.9989514494018998,0.9979779123923268
Echinodermata,genus,0.9970414859303749,0.9777969508407041
Mollusca,genus,0.9894729504273848,0.9814433819121137
Nematoda,genus,1.0,0.9920269106315617
Platyhelminthes,genus,1.0,0.9994994994994995
Annelida,species,0.9789042172803835,0.9470419426734749
Arthropoda,species,0.9908009920648768,0.9738542743979992
Chordata,species,0.9819433284203077,0.9418113990235022
Cnidaria,species,0.9751120496704013,0.9511833655752928
Echinodermata,species,0.9934755267744506,0.9711100091865345
Mollusca,species,0.9804214986363264,0.9521500560643051
Nematoda,species,0.9945186414484661,0.9938622833359675
Platyhelminthes,species,0.9593132775593014,0.9078129365124694
