phylum,rank,AUROC,AUPR
Platyhelminthes,class,1.0,0.9994994994994995
Cnidaria,class,1.0,0.9994825743618014
Nematoda,class,1.0,0.9994994994994995
Echinodermata,class,1.0,0.9994994994994995
Annelida,class,1.0,0.9994994994994995
Mollusca,class,0.9997181179779221,0.9993799822231194
Chordata,class,1.0,0.9994994994994995
Arthropoda,class,0.9999157246925221,0.9994993705087951
Platyhelminthes,order,1.0,0.9994994994994995
Cnidaria,order,1.0,0.9994759068833142
Nematoda,order,1.0,0.9994994994994995
Echinodermata,order,1.0,0.9994994994994995
Annelida,order,0.9995886618720778,0.9989074899347176
Mollusca,order,0.999906425181077,0.9993776277442614
Chordata,order,0.9998583368771132,0.9979919878074547
Arthropoda,order,0.9999825041743335,0.9994912350863462
Platyhelminthes,family,1.0,0.9994994994994995
Cnidaria,family,0.9999734469203938,0.9994483973462951
Nematoda,family,1.0,0.9994994994994995
Echinodermata,family,1.0,0.9994994994994995
Annelida,family,0.9970814691209426,0.9957355417881734
Mollusca,family,0.999184680556806,0.9973046390136956
Chordata,family,0.9996928778721099,0.9976862783311763
Arthropoda,family,0.9998296078367478,0.9987757290325892
Platyhelminthes,genus,1.0,0.9994994994994995
Cnidaria,genus,1.0,0.9994576886468778
Nematoda,genus,1.0,0.9994994994994995
Echinodermata,genus,0.9992586278981586,0.998111275925724
Annelida,genus,0.9953886352500584,0.9935701863941564
Mollusca,genus,0.996750502147997,0.9931375038499043
Chordata,genus,0.9987927639870315,0.9964771889531842
Arthropoda,genus,0.9995927636893229,0.9979214576385643
Platyhelminthes,species,0.9854301060319578,0.9594839283728173
Cnidaria,species,0.9793721987774191,0.9822845034655046
Nematoda,species,1.0,0.9971638304971637
Echinodermata,species,0.997395394569487,0.9941276122106706
Annelida,species,0.9927332332620967,0.9793928871353276
Mollusca,species,0.9935973529693163,0.984735015241703
Chordata,species,0.9886174082654302,0.9797868300896113
Arthropoda,species,0.9939627300739842,0.985036702434007
