phylum,rank,AUROC,AUPR
Platyhelminthes,class,0.9631840826271085,0.9499706323555324
Cnidaria,class,0.9978526090521511,0.9961280830071908
Nematoda,class,0.9712404820571533,0.933175473543098
Echinodermata,class,0.9989266005066868,0.9972814377956586
Annelida,class,0.9991855050380878,0.9978155939697996
Mollusca,class,0.9991251739672249,0.9987632630906776
Chordata,class,0.9994122360799121,0.9980873411327013
Arthropoda,class,0.9996958120891574,0.9950371473320827
Platyhelminthes,order,0.9913582869819914,0.9854753456511203
Cnidaria,order,0.9929344522270714,0.9805002301770673
Nematoda,order,0.9867439796604179,0.9452046417630084
Echinodermata,order,0.9869171052053178,0.9636160326000555
Annelida,order,0.9810480937008554,0.9313426234716954
Mollusca,order,0.9922717158889707,0.9309708404966994
Chordata,order,0.9873874945562369,0.9516086353010792
Arthropoda,order,0.9994172889140751,0.9873565279119376
Platyhelminthes,family,0.9987057585012394,0.991811713992766
Cnidaria,family,0.967093896160456,0.9077210963498289
Nematoda,family,0.9770066079306804,0.8870731449349889
Echinodermata,family,0.9875196593987638,0.9572723294556226
Annelida,family,0.9743246872867625,0.9215834815742017
Mollusca,family,0.9590780166358398,0.8774499689574312
Chordata,family,0.9886275679780088,0.9427343773026597
Arthropoda,family,0.9944275370391953,0.936123127520667
Platyhelminthes,genus,0.9979925766183598,0.9890796983331112
Cnidaria,genus,0.9629873107576664,0.9096762054862835
Nematoda,genus,0.9580167597490622,0.8496012993187562
Echinodermata,genus,0.9777119077809182,0.9338213672776261
Annelida,genus,0.9493405786704152,0.8657367899215979
Mollusca,genus,0.9323165217028464,0.8311015478295272
Chordata,genus,0.9669549023603792,0.8980634808179551
Arthropoda,genus,0.9778405134984932,0.8811114390131968
Platyhelminthes,species,0.9576332946703316,0.8434929815176728
Cnidaria,species,0.7939499745055302,0.6287853206445418
Nematoda,species,0.9717565281418609,0.9247636551782802
Echinodermata,species,0.9564807075482397,0.8850269333727914
Annelida,species,0.9293587722704812,0.8347414256033827
Mollusca,species,0.9164992006930553,0.7937890439113346
Chordata,species,0.9099854174902215,0.8043563820695692
Arthropoda,species,0.9605005264433011,0.9418099540603702
