phylum,rank,AUROC,AUPR
Annelida,class,0.9411353116528466,0.8891508211448759
Arthropoda,class,0.9964042771055862,0.9180045715840995
Chordata,class,0.9965274086172952,0.979308455335305
Cnidaria,class,0.9956991715660539,0.9956371935027597
Echinodermata,class,0.9989446785397931,0.9969440793429862
Mollusca,class,0.9777774489890569,0.883497459550975
Nematoda,class,0.9400353989743725,0.9351937967951869
Platyhelminthes,class,0.9983694480611176,0.9956398240891001
Annelida,order,0.8936358962089521,0.6696573334406709
Arthropoda,order,0.995192721796184,0.8882584873099788
Chordata,order,0.9828193695947153,0.8849011844735531
Cnidaria,order,0.9906337691771014,0.9818372708436827
Echinodermata,order,0.9942897723751097,0.9718591248524224
Mollusca,order,0.9493605108209097,0.7813511665230566
Nematoda,order,0.9825369740822353,0.9041272851219281
Platyhelminthes,order,0.9989993865172808,0.997082332784735
Annelida,family,0.8710624359441865,0.5932510755577898
Arthropoda,family,0.9806738921832462,0.8161136871942164
Chordata,family,0.9830801803662232,0.8778535687189758
Cnidaria,family,0.9498031659921324,0.8693388984191384
Echinodermata,family,0.989564184870634,0.9512304767591812
Mollusca,family,0.9348306802257731,0.7286511948139252
Nematoda,family,0.9511534438606368,0.8170089282980715
Platyhelminthes,family,0.9994499762026698,0.9738250345276493
Annelida,genus,0.8664912282927497,0.6045469522706248
Arthropoda,genus,0.9654604333520651,0.7806988148162629
Chordata,genus,0.9561816026745603,0.8290799316652208
Cnidaria,genus,0.9335460532583038,0.8277360459489207
Echinodermata,genus,0.9583295428300811,0.8947661095696187
Mollusca,genus,0.9086643370134138,0.7127824603393775
Nematoda,genus,0.9048951099914494,0.7457671123521814
Platyhelminthes,genus,0.9991977268153338,0.9750076341891264
Annelida,species,0.8286570272871996,0.8196277513525333
Arthropoda,species,0.9451833181890201,0.9438824065811293
Chordata,species,0.8169764102073434,0.783875613745931
Cnidaria,species,0.7089493400284923,0.6849571224300584
Echinodermata,species,0.8456314529826152,0.8048370488704262
Mollusca,species,0.8136634534396718,0.7817133724946954
Nematoda,species,0.9141144077903363,0.8796965321713716
Platyhelminthes,species,0.8489251848493697,0.7641449972183614
