phylum,rank,AUROC,AUPR
Annelida,class,1.0,0.9994994994994995
Arthropoda,class,0.999957677608058,0.988390715304591
Chordata,class,0.9999481783802471,0.9994931186244601
Cnidaria,class,0.9966795471974563,0.9970044539323963
Echinodermata,class,1.0,0.9994994994994995
Mollusca,class,0.9997873398608692,0.9994059332947041
Nematoda,class,1.0,0.9994994994994995
Platyhelminthes,class,1.0,0.9994994994994995
Annelida,order,0.9984854088731792,0.998073222149343
Arthropoda,order,0.9999819829521048,0.998192620747934
Chordata,order,0.9996247083271286,0.9983922522128055
Cnidaria,order,0.9948846506793342,0.9949562070201227
Echinodermata,order,1.0,0.9994994994994995
Mollusca,order,0.999907885745001,0.9994218744227968
Nematoda,order,1.0,0.9994994994994995
Platyhelminthes,order,1.0,0.9994994994994995
Annelida,family,0.9976435147148623,0.9963856443447636
Arthropoda,family,0.9999552642285596,0.9985541962968465
Chordata,family,0.9986882529546586,0.9974164818675723
Cnidaria,family,0.9933266599933266,0.9944200394509053
Echinodermata,family,1.0,0.9994994994994995
Mollusca,family,0.9999659181220517,0.9994543302796204
Nematoda,family,1.0,0.9994994994994995
Platyhelminthes,family,1.0,0.9994994994994995
Annelida,genus,0.9957820419415584,0.9936820977251115
Arthropoda,genus,0.9996499832784438,0.9973670770403082
Chordata,genus,0.9968709695999564,0.9935346696604161
Cnidaria,genus,0.9945178593827243,0.9953251386088752
Echinodermata,genus,0.9883351672211305,0.9919610090196358
Mollusca,genus,0.9907543921790928,0.9855165048884842
Nematoda,genus,1.0,0.9994994994994995
Platyhelminthes,genus,1.0,0.9994994994994995
Annelida,species,0.9753865569749507,0.963883130903038
Arthropoda,species,0.9921367887257231,0.9828364759504167
Chordata,species,0.9809705385167536,0.9650512392734062
Cnidaria,species,0.9663293688096197,0.9482815339312497
Echinodermata,species,0.9839297806511557,0.9830226547535377
Mollusca,species,0.9814837700599459,0.9665461082737913
Nematoda,species,1.0,0.9994994994994995
Platyhelminthes,species,0.9662202814988008,0.9261900382049496
