running_time,seqs_per_sec,method,dataset
4.509,21.06897316,DeepCOI_no_mcm,DS-PBBC1
4.448,21.35791367,DeepCOI_no_mcm,DS-PBBC1
4.76,19.95798319,DeepCOI_no_mcm,DS-PBBC1
4.615,20.58504875,DeepCOI_no_mcm,DS-PBBC1
4.504,21.09236234,DeepCOI_no_mcm,DS-PBBC1
9.915,95.61270802,DeepCOI_no_mcm,DS-PBBC2
10.383,91.30309159,DeepCOI_no_mcm,DS-PBBC2
9.614,98.60619929,DeepCOI_no_mcm,DS-PBBC2
9.649,98.24852316,DeepCOI_no_mcm,DS-PBBC2
8.741,108.4544103,DeepCOI_no_mcm,DS-PBBC2
47.565,182.1086934,DeepCOI_no_mcm,DS-PBBC3
47.494,182.3809323,DeepCOI_no_mcm,DS-PBBC3
46.156,187.6679088,DeepCOI_no_mcm,DS-PBBC3
46.987,184.3488625,DeepCOI_no_mcm,DS-PBBC3
46.613,185.8279879,DeepCOI_no_mcm,DS-PBBC3
48.417,186.6493174,DeepCOI_no_mcm,DS-PBBC4
48.212,187.4429603,DeepCOI_no_mcm,DS-PBBC4
57.219,157.9370489,DeepCOI_no_mcm,DS-PBBC4
47.828,188.9478966,DeepCOI_no_mcm,DS-PBBC4
48.479,186.4106108,DeepCOI_no_mcm,DS-PBBC4
6.569,14.46186634,DeepCOI_mcm,DS-PBBC1
6.692,14.19605499,DeepCOI_mcm,DS-PBBC1
6.627,14.33529501,DeepCOI_mcm,DS-PBBC1
6.079,15.62757032,DeepCOI_mcm,DS-PBBC1
6.185,15.35974131,DeepCOI_mcm,DS-PBBC1
29.036,32.64912522,DeepCOI_mcm,DS-PBBC2
29.923,31.68131538,DeepCOI_mcm,DS-PBBC2
29.299,32.35605311,DeepCOI_mcm,DS-PBBC2
29.934,31.66967328,DeepCOI_mcm,DS-PBBC2
29.503,32.13232553,DeepCOI_mcm,DS-PBBC2
221.08,39.18038719,DeepCOI_mcm,DS-PBBC3
219.396,39.4811209,DeepCOI_mcm,DS-PBBC3
216.848,39.94503062,DeepCOI_mcm,DS-PBBC3
217.216,39.8773571,DeepCOI_mcm,DS-PBBC3
218.026,39.72920661,DeepCOI_mcm,DS-PBBC3
351.778,25.68949735,DeepCOI_mcm,DS-PBBC4
352.901,25.60774835,DeepCOI_mcm,DS-PBBC4
358.205,25.22857023,DeepCOI_mcm,DS-PBBC4
350.852,25.75729937,DeepCOI_mcm,DS-PBBC4
356.122,25.37613514,DeepCOI_mcm,DS-PBBC4
10.123,9.384569792,RDP,DS-PBBC1
10.301,9.222405592,RDP,DS-PBBC1
10.39,9.143407122,RDP,DS-PBBC1
11.426,8.314370733,RDP,DS-PBBC1
10.392,9.141647421,RDP,DS-PBBC1
31.804,29.80757137,RDP,DS-PBBC2
33.472,28.32217973,RDP,DS-PBBC2
31.461,30.13254506,RDP,DS-PBBC2
31.715,29.89121867,RDP,DS-PBBC2
32.002,29.62314855,RDP,DS-PBBC2
270.869,31.9785579,RDP,DS-PBBC3
257.072,33.69484036,RDP,DS-PBBC3
241.78,35.82595748,RDP,DS-PBBC3
333.046,26.00841926,RDP,DS-PBBC3
257.251,33.67139486,RDP,DS-PBBC3
282.064,32.03882807,RDP,DS-PBBC4
240.242,37.61623696,RDP,DS-PBBC4
232.638,38.84576037,RDP,DS-PBBC4
242.5,37.26597938,RDP,DS-PBBC4
235.199,38.42278241,RDP,DS-PBBC4
52.754,1.800811313,BLAST,DS-PBBC1
49.509,1.918843039,BLAST,DS-PBBC1
49.379,1.923894773,BLAST,DS-PBBC1
49.422,1.922220873,BLAST,DS-PBBC1
48.918,1.94202543,BLAST,DS-PBBC1
441.907,2.145247756,BLAST,DS-PBBC2
440.727,2.15099143,BLAST,DS-PBBC2
442.299,2.143346469,BLAST,DS-PBBC2
445.24,2.129188752,BLAST,DS-PBBC2
440.542,2.151894712,BLAST,DS-PBBC2
4507.224,1.921803753,BLAST,DS-PBBC3
4477.57,1.934531453,BLAST,DS-PBBC3
4500.719,1.924581384,BLAST,DS-PBBC3
4467.191,1.939026113,BLAST,DS-PBBC3
4480.848,1.933116232,BLAST,DS-PBBC3
3942.777,2.292039342,BLAST,DS-PBBC4
3966.614,2.278265543,BLAST,DS-PBBC4
3939.192,2.294125293,BLAST,DS-PBBC4
3960.152,2.281983116,BLAST,DS-PBBC4
3991.777,2.263904021,BLAST,DS-PBBC4
