,class,order,family,genus,species
no_network/max.Annelida,0.6924995266827576,0.3374028562739809,0.307367134983423,0.22293841563763747,0.1315905108599024
no_network/mean.Annelida,0.6833941157667204,0.3821894335403385,0.3228095703102854,0.20156066615865897,0.08137377016145333
no_network/cls_token.Annelida,0.741679906812221,0.5146744332700676,0.4898243909407088,0.43111006430314147,0.419465275537097
no_network/convolutional_attention.Annelida,0.9772765310325346,0.8876529945651912,0.8432516048877551,0.7856154639984454,0.8268164272936682
1D-CNN/mean.Annelida,0.8893778898928448,0.6897414532342683,0.6209717728498139,0.5578688540872635,0.2864443443334599
1D-CNN/max.Annelida,0.9640911688759364,0.8856033279933654,0.8742279188771603,0.8088115188384235,0.8023779728947884
1D-CNN/cls_token.Annelida,0.8190988134864959,0.5382022249490938,0.5067960653785194,0.440943685954829,0.4101090560040599
1D-CNN/convolutional_attention.Annelida,0.9771113619774706,0.8697611278877494,0.8555747518829038,0.7896108831485691,0.8024631281765104
GRU/mean.Annelida,0.9298549695082502,0.6935928365718675,0.6407029782517993,0.6008287362729748,0.619141168646292
GRU/cls_token.Annelida,0.4098837235280384,0.0706564438063564,0.03972747276123397,0.022379029037753895,0.006487255918531159
GRU/max.Annelida,0.8725388392679876,0.639692613398555,0.5713372712145678,0.5314033605536812,0.7415796044268556
GRU/convolutional_attention.Annelida,0.9232072976546526,0.7383417441486869,0.7084260595513359,0.6499493688195466,0.789228583693049
1D-CNN_GRU/mean.Annelida,0.8701093331349119,0.6397652852502891,0.5195470325942702,0.49317563016719235,0.5503311929531869
1D-CNN_GRU/cls_token.Annelida,0.40262984500764365,0.08323651181745062,0.045756661289970586,0.025325025031836212,0.0020936814027100415
1D-CNN_GRU/max.Annelida,0.9029881004784416,0.7610533925079866,0.6623196000298454,0.6202411351088201,0.7136411703195001
1D-CNN_GRU/convolutional_attention.Annelida,0.906922659685074,0.7075224777973059,0.6838831619620597,0.6118615440046248,0.7656078431266675
no_network/convolutional_attention.Arthropoda,0.9942364590957504,0.979680285388674,0.9311193009853675,0.8654198317717425,0.9370997088385051
no_network/cls_token.Arthropoda,0.7429195704188293,0.6737273789475149,0.571574988657759,0.4349055724906128,0.4051572274027859
no_network/mean.Arthropoda,0.880209015084781,0.8797303754524354,0.787367251424211,0.6434498590354739,0.7292609471424826
no_network/max.Arthropoda,0.6739437711997565,0.5177206348164027,0.37523675729820316,0.2666215014003105,0.293405208757736
1D-CNN/mean.Arthropoda,0.8527148573657033,0.8486041077242518,0.747236201185572,0.6142250348248977,0.6517873698983476
1D-CNN/max.Arthropoda,0.9824159119677063,0.9744823241963504,0.9320285268673479,0.8668405410565097,0.9326844162971919
1D-CNN/cls_token.Arthropoda,0.8084753042193689,0.7488653300987782,0.6353240830284294,0.4714358884263119,0.459166997682005
