train,test,phylum,rank,AUROC,AUPR
w_mcm,wo_mcm,Annelida,class,0.8156693000292006,0.6723225289232934
w_mcm,w_mcm,Annelida,class,0.9917443107066567,0.9601715150451522
wo_mcm,wo_mcm,Annelida,class,0.9970996477528791,0.9728539335403715
wo_mcm,w_mcm,Annelida,class,0.996351071427648,0.9640911688759364
wo_mcm,w_mcm,Arthropoda,class,0.9994766513526283,0.9824159119677063
wo_mcm,wo_mcm,Arthropoda,class,0.9992006705371427,0.9809541556663208
w_mcm,wo_mcm,Arthropoda,class,0.6195996089120812,0.12228897854106215
w_mcm,w_mcm,Arthropoda,class,0.9954432399305355,0.9630398674455425
w_mcm,w_mcm,Chordata,class,0.9955045820528525,0.9715293480714763
w_mcm,wo_mcm,Chordata,class,0.7268954145670161,0.2851624495935886
w_mcm,w_mcm,Cnidaria,class,0.9935742551147121,0.9860029494639803
w_mcm,wo_mcm,Cnidaria,class,0.8577199694044473,0.725624379878507
wo_mcm,w_mcm,Cnidaria,class,0.9976878696262548,0.9960438407235401
wo_mcm,wo_mcm,Cnidaria,class,0.9974480858405025,0.9956998254356756
w_mcm,w_mcm,Echinodermata,class,0.9971492738720729,0.9925557280294524
w_mcm,wo_mcm,Echinodermata,class,0.7896262509141192,0.5360022785288053
wo_mcm,w_mcm,Echinodermata,class,0.9979826466770699,0.9962352354335291
wo_mcm,wo_mcm,Echinodermata,class,0.9986261200207481,0.9972633473406638
wo_mcm,w_mcm,Chordata,class,0.9997533459055478,0.9945461734961633
w_mcm,w_mcm,Mollusca,class,0.996799312404837,0.9806604177129149
w_mcm,wo_mcm,Mollusca,class,0.8176251451889311,0.6299836612602789
w_mcm,w_mcm,Nematoda,class,0.9744881082837553,0.9286966508963057
w_mcm,wo_mcm,Nematoda,class,0.709160147033178,0.5086583486096028
wo_mcm,w_mcm,Nematoda,class,0.9864996157998311,0.9652781884426039
wo_mcm,wo_mcm,Nematoda,class,0.9851333583672606,0.9246094142001524
w_mcm,w_mcm,Platyhelminthes,class,0.9584904357539678,0.9302534189562213
w_mcm,wo_mcm,Platyhelminthes,class,0.3396643922386865,0.3172962006661078
wo_mcm,w_mcm,Platyhelminthes,class,0.9550774149479514,0.9391136659734962
wo_mcm,wo_mcm,Platyhelminthes,class,0.9551220266670354,0.9393918412518899
wo_mcm,wo_mcm,Chordata,class,0.9995583160240804,0.9937196986056426
wo_mcm,w_mcm,Mollusca,class,0.9994499758285402,0.9984763116578798
wo_mcm,wo_mcm,Mollusca,class,0.9994046806612424,0.9985020468915895
w_mcm,wo_mcm,Annelida,order,0.54157735176037,0.1387540435463126
w_mcm,w_mcm,Annelida,order,0.9429534213970141,0.8402342725375076
wo_mcm,wo_mcm,Annelida,order,0.9546020726803857,0.8700018646689723
wo_mcm,w_mcm,Annelida,order,0.9633547948932577,0.8856033279933654
wo_mcm,w_mcm,Arthropoda,order,0.9985120116461491,0.9744823241963504
