phylum,width,rank,AUROC,AUPR
Annelida,cnn5,class,0.9921673266845701,0.9590892243399238
Annelida,cnn7,class,0.9931191632288868,0.9849043813184233
Annelida,cnn11,class,0.9971587965581485,0.9761641618593664
Annelida,cnn9,class,0.9982795674097011,0.9892558449758321
Annelida,cnn13,class,0.9991855050380878,0.9978155939697996
Arthropoda,cnn11,class,0.9996387410692146,0.9927325705878715
Arthropoda,cnn5,class,0.9995939778538105,0.9928659764669302
Arthropoda,cnn7,class,0.9994425452290118,0.9824159119677063
Arthropoda,cnn9,class,0.9983444636799461,0.9924437945514978
Arthropoda,cnn13,class,0.9996988404119647,0.9950371473320827
Chordata,cnn5,class,0.9995065970886765,0.992401355937197
Chordata,cnn7,class,0.9998755881542005,0.998881899984113
Chordata,cnn9,class,0.9994178585539764,0.9980873411327013
Cnidaria,cnn5,class,0.9959836317065398,0.9938171168546454
Cnidaria,cnn7,class,0.9971664660269992,0.9956882589864441
Cnidaria,cnn9,class,0.9983582609460018,0.9960399547195075
Cnidaria,cnn11,class,0.9971847109750129,0.9960785551374486
Cnidaria,cnn13,class,0.9978777315542872,0.9961280830071908
Echinodermata,cnn5,class,0.9967399370014511,0.9944355713491061
Echinodermata,cnn7,class,0.996531104935402,0.9944265245079948
Echinodermata,cnn9,class,0.9988155921010449,0.9972814377956586
Echinodermata,cnn11,class,0.9973170159301001,0.9940537683453825
Echinodermata,cnn13,class,0.9988443914846205,0.9974652246160686
Chordata,cnn11,class,0.9998334975961162,0.966573291052759
Mollusca,cnn5,class,0.9989252792601099,0.9973293559911298
Mollusca,cnn9,class,0.999412761358216,0.9977593296141261
Mollusca,cnn7,class,0.9993407942261181,0.9982822598640694
Nematoda,cnn5,class,0.9821849031730183,0.879654833244759
Nematoda,cnn7,class,0.9676719139455207,0.8842879725754172
Nematoda,cnn9,class,0.9780810442463769,0.9029129852730947
Nematoda,cnn11,class,0.9672539906566966,0.895060496208054
Nematoda,cnn13,class,0.9709611329405949,0.933175473543098
Platyhelminthes,cnn5,class,0.9771083437362589,0.9637114601559569
Platyhelminthes,cnn7,class,0.9694308772771514,0.9513910896020232
Platyhelminthes,cnn9,class,0.9679961296200583,0.9499706323555324
Platyhelminthes,cnn11,class,0.98738781211958,0.9759068914974833
Platyhelminthes,cnn13,class,0.9636885112579441,0.9496051501632577
Mollusca,cnn11,class,0.9992827837101563,0.9988093422836262
Chordata,cnn13,class,0.9988555208418922,0.9905873119542643
Mollusca,cnn13,class,0.9991336722669145,0.9987632630906776
Annelida,cnn5,order,0.9650313868414964,0.8926376969937444
Annelida,cnn7,order,0.9509805475826401,0.8862055656005031
Annelida,cnn11,order,0.9586502576631795,0.8896509045397133
Annelida,cnn9,order,0.962301520813742,0.9059562068253555
Annelida,cnn13,order,0.9810480937008554,0.9313426234716954
Arthropoda,cnn11,order,0.9992881528970674,0.9810613158608327
Arthropoda,cnn5,order,0.998004678621143,0.9775030846819773
Arthropoda,cnn7,order,0.9984716867473499,0.9744823241963504
Arthropoda,cnn9,order,0.9991776503793632,0.9837781059804072
Arthropoda,cnn13,order,0.9994015968462256,0.9873565279119376
Chordata,cnn5,order,0.9858334438779714,0.9522901869283991
Chordata,cnn7,order,0.9875291444360699,0.9549395102652113
Chordata,cnn9,order,0.9874707260480171,0.9516086353010792
Cnidaria,cnn5,order,0.988948294724191,0.9708953137405097
Cnidaria,cnn7,order,0.9846207287761999,0.9627984354785825
Cnidaria,cnn9,order,0.988279222967912,0.9733625641486073
Cnidaria,cnn11,order,0.9919165294158198,0.9770204294452317
Cnidaria,cnn13,order,0.992628022532855,0.9805002301770673
Echinodermata,cnn5,order,0.9863299899863466,0.9518057242237847
