phylum,trial,rank,AUROC,AUPR
Annelida,1,class,0.9988849262803727,0.996006302256873
Annelida,0,class,0.9991855050380878,0.9978155939697996
Annelida,3,class,0.9990951913741536,0.9973810658344312
Annelida,2,class,0.999360926890322,0.9978877803234416
Annelida,4,class,0.9992025146938681,0.9975025656210661
Arthropoda,0,class,0.9996989410398364,0.9950371473320827
Arthropoda,4,class,0.9997632087690208,0.9949282243558585
Arthropoda,1,class,0.9997972288442447,0.9963344001697994
Arthropoda,2,class,0.9997031008057227,0.9931434807576787
Arthropoda,3,class,0.999740710362056,0.9973040523902961
Chordata,0,class,0.9994261957305753,0.9980873411327013
Chordata,1,class,0.999872370515854,0.9945737939597071
Chordata,2,class,0.9997289906435747,0.9955288497163605
Cnidaria,0,class,0.99778783892226,0.9961280830071908
Cnidaria,1,class,0.9973618864815237,0.996083257997945
Cnidaria,2,class,0.9979276124871616,0.9962060942672563
Cnidaria,4,class,0.9978033271847639,0.9960951868565421
Cnidaria,3,class,0.9978150975459236,0.9961754817920612
Echinodermata,0,class,0.9989095934979358,0.9972814377956586
Echinodermata,2,class,0.9988291820565498,0.9973357445709263
Echinodermata,1,class,0.9982969834592824,0.996643602653854
Echinodermata,3,class,0.9987736390393323,0.9972222471000523
Echinodermata,4,class,0.9985371945885706,0.9972319326792013
Chordata,3,class,0.9989326525328104,0.9967943681904399
Mollusca,0,class,0.9991364338143613,0.9987632630906776
Mollusca,1,class,0.9993146656892437,0.9987594480524474
Mollusca,2,class,0.9987176133798771,0.9981809530603282
Nematoda,0,class,0.9706876035972981,0.933175473543098
Nematoda,1,class,0.9875374332304097,0.9739070338745366
Nematoda,2,class,0.9918450215961598,0.9673503927591467
Nematoda,3,class,0.9895851659799522,0.9742331398673431
Nematoda,4,class,0.9861394380531928,0.973092662998218
Platyhelminthes,0,class,0.9659130156417006,0.9499706323555324
Platyhelminthes,1,class,0.9698079065483894,0.954051982542426
Platyhelminthes,2,class,0.973437055786208,0.963047869729208
Platyhelminthes,3,class,0.9681151510964068,0.9546853254110629
Platyhelminthes,4,class,0.9690322533830495,0.9539184767879387
Mollusca,3,class,0.9993275011471732,0.9985973747738937
Chordata,4,class,0.9991086317388547,0.997174996038929
Mollusca,4,class,0.9991970408895647,0.99883802476596
Annelida,1,order,0.979280673922659,0.9165740285185917
Annelida,0,order,0.9810480937008554,0.9313426234716954
Annelida,3,order,0.9858124888710533,0.9315223849845983
Annelida,2,order,0.9798190878424706,0.9287899903951061
Annelida,4,order,0.9807309088610151,0.9325080561388757
Arthropoda,0,order,0.9993966510679304,0.9873565279119376
Arthropoda,4,order,0.9993235334576169,0.9855792077714934
Arthropoda,1,order,0.9995227084980787,0.9871055903822403
Arthropoda,2,order,0.9995868216922258,0.9883872207872105
Arthropoda,3,order,0.9994790460128828,0.9889000382842265
Chordata,0,order,0.9872636162300824,0.9516086353010792
Chordata,1,order,0.9903827430324462,0.9496021870740262
Chordata,2,order,0.9889884081020857,0.9554193290149406
Cnidaria,0,order,0.9929431532598153,0.9805002301770673
Cnidaria,1,order,0.9918939874459713,0.9801704706363693
Cnidaria,2,order,0.9929398059605021,0.9807137400989562
Cnidaria,4,order,0.9923442446921982,0.9806824752134845
Cnidaria,3,order,0.9933482043973668,0.9819039713297266
Echinodermata,0,order,0.9863367175053394,0.9636160326000555
