embedding,phylum,rank,AUROC,AUPR
DeepCOI,Annelida,class,0.996351071427648,0.9640911688759364
onehot,Annelida,class,0.9718395579018311,0.9493723951065394
end_to_end,Annelida,class,0.9763438095952789,0.948772170850633
random,Annelida,class,0.9836669926912092,0.9471254865269181
random,Arthropoda,class,0.9994274556896305,0.9752806257240777
end_to_end,Arthropoda,class,0.9988557769155119,0.9755407390060699
onehot,Arthropoda,class,0.9994972143056757,0.9886751926273579
DeepCOI,Arthropoda,class,0.9994998476988135,0.9824159119677063
onehot,Chordata,class,0.9949873871001378,0.9569312043913049
random,Chordata,class,0.9982923930978389,0.9933975835577351
onehot,Cnidaria,class,0.9837608370444039,0.9748319594305511
random,Cnidaria,class,0.9898522870798139,0.9880324166996785
end_to_end,Cnidaria,class,0.9657695766094613,0.9584505734091405
DeepCOI,Cnidaria,class,0.9978186940973301,0.9960438407235401
onehot,Echinodermata,class,0.9750310055596001,0.9577022450585397
random,Echinodermata,class,0.9925387487208166,0.9865691271442898
end_to_end,Echinodermata,class,0.991903190543586,0.9876818601546651
DeepCOI,Echinodermata,class,0.9980450857466764,0.9962352354335291
end_to_end,Chordata,class,0.9864855889921604,0.9466140417171272
onehot,Mollusca,class,0.9846520948036853,0.9547638727241287
random,Mollusca,class,0.9978293475673287,0.9955450885758044
onehot,Nematoda,class,0.8167941192660845,0.7847793415986775
random,Nematoda,class,0.980405741724235,0.9298831222259678
end_to_end,Nematoda,class,0.608045318977712,0.7357329474014238
DeepCOI,Nematoda,class,0.9851319690833471,0.9652781884426039
onehot,Platyhelminthes,class,0.9706366732308722,0.9249807577226299
random,Platyhelminthes,class,0.9571039490750375,0.9406778070344863
end_to_end,Platyhelminthes,class,0.9216963635656878,0.9047758362058015
DeepCOI,Platyhelminthes,class,0.9552768452435736,0.9391136659734962
end_to_end,Mollusca,class,0.9919345004292881,0.9779526181088382
DeepCOI,Chordata,class,0.99974613844587,0.9945461734961633
DeepCOI,Mollusca,class,0.9994468430208461,0.9984763116578798
DeepCOI,Annelida,order,0.9633547948932577,0.8856033279933654
onehot,Annelida,order,0.8773924382583177,0.7406574677137432
end_to_end,Annelida,order,0.8186773511360849,0.7239148526059334
random,Annelida,order,0.916698722267139,0.8138486151208857
random,Arthropoda,order,0.9990378687264528,0.9649064778512337
end_to_end,Arthropoda,order,0.9946388791628403,0.962144992655988
onehot,Arthropoda,order,0.9948082164526041,0.9616556892353217
DeepCOI,Arthropoda,order,0.9985051254983645,0.9744823241963504
onehot,Chordata,order,0.9772189962330817,0.9087437497536726
random,Chordata,order,0.9884740872670639,0.9292585428089956
onehot,Cnidaria,order,0.9257744598628823,0.8757909734206394
random,Cnidaria,order,0.9438729107217175,0.9144743221434417
end_to_end,Cnidaria,order,0.9200476539633933,0.8913716751592197
DeepCOI,Cnidaria,order,0.9828209622376152,0.9617407488149721
onehot,Echinodermata,order,0.9066332302748878,0.8149358130994289
random,Echinodermata,order,0.9473991427295916,0.8840212698892178
end_to_end,Echinodermata,order,0.9121392378465785,0.81586094218847
DeepCOI,Echinodermata,order,0.9887190660247045,0.9675902658983568
end_to_end,Chordata,order,0.9381757983434441,0.8059139044186348
onehot,Mollusca,order,0.9273820942251125,0.7888025540418238
random,Mollusca,order,0.9693552690405435,0.8807930228033979
onehot,Nematoda,order,0.865081049397681,0.7926994309061529
random,Nematoda,order,0.9742529647216834,0.9270191962454775
end_to_end,Nematoda,order,0.8332570583573224,0.7997275309445546
DeepCOI,Nematoda,order,0.9740568142724279,0.9120992434751541
onehot,Platyhelminthes,order,0.9715474977370462,0.9154182799183858
random,Platyhelminthes,order,0.9778531186781833,0.9685807111219124
end_to_end,Platyhelminthes,order,0.9161896127938727,0.8644066921897108
DeepCOI,Platyhelminthes,order,0.9819323908758789,0.9768829874353268
end_to_end,Mollusca,order,0.9563333035895638,0.8707570691350495
DeepCOI,Chordata,order,0.9925845065506982,0.9575045174840295
DeepCOI,Mollusca,order,0.990281646788398,0.9309275356414407
DeepCOI,Annelida,family,0.9697345436897463,0.8742279188771603
onehot,Annelida,family,0.8399549955185868,0.6932021213439008
end_to_end,Annelida,family,0.7479515180553404,0.6189304752353455
random,Annelida,family,0.8797463411567908,0.7661132706980721
random,Arthropoda,family,0.9931255783165072,0.9198967012538742
end_to_end,Arthropoda,family,0.9810526974972503,0.8839484838252178
onehot,Arthropoda,family,0.9900258783272122,0.9157362388416252
DeepCOI,Arthropoda,family,0.9932273129894926,0.9320285268673479
onehot,Chordata,family,0.969140829618271,0.888450335826788
random,Chordata,family,0.980549428753754,0.9105428709354177
onehot,Cnidaria,family,0.8892696687951864,0.8281560124666987
random,Cnidaria,family,0.9115347828759612,0.8647119156903996
