model,phylum,rank,AUROC,AUPR
DeepCOI,Annelida,class,0.996351071427648,0.9640911688759364
wo_MCM,Annelida,class,0.9970996477528791,0.9728539335403715
wo_wBCE,Annelida,class,0.9961511447099707,0.9635017611955243
base,Annelida,class,0.9956211243097098,0.9619065285807806
DeepCOI,Arthropoda,class,0.9995068622006704,0.9824159119677063
base,Arthropoda,class,0.999405416463487,0.9854368418403449
wo_wBCE,Arthropoda,class,0.9988703103609531,0.9870252647257499
wo_MCM,Arthropoda,class,0.9992668720342484,0.9809541556663208
base,Chordata,class,0.9981534267241127,0.9759446873401585
wo_MCM,Chordata,class,0.9995797715536064,0.9937196986056426
base,Cnidaria,class,0.9966137164782993,0.9933860810559562
wo_MCM,Cnidaria,class,0.9975477536395442,0.9956998254356756
wo_wBCE,Cnidaria,class,0.9964246709318645,0.9935769728827655
DeepCOI,Cnidaria,class,0.9976640959172355,0.9960438407235401
base,Echinodermata,class,0.9947236766165948,0.9899203786184785
wo_MCM,Echinodermata,class,0.9986114998475653,0.9972633473406638
wo_wBCE,Echinodermata,class,0.9943198094576173,0.9903770373196735
DeepCOI,Echinodermata,class,0.9981413264076144,0.9962352354335291
wo_wBCE,Chordata,class,0.9983602265710677,0.9784340812708757
wo_MCM,Mollusca,class,0.9993997239782669,0.9985020468915895
base,Mollusca,class,0.9990310434929737,0.9977291018726897
base,Nematoda,class,0.9692164495250815,0.8903346092845432
wo_MCM,Nematoda,class,0.9848656487972254,0.9246094142001524
wo_wBCE,Nematoda,class,0.9774664760040102,0.9341237754460054
wo_wBCE,Mollusca,class,0.9990209345476475,0.9976787357820234
DeepCOI,Nematoda,class,0.9848758990598353,0.9652781884426039
base,Platyhelminthes,class,0.9487289501404548,0.9345564066157585
wo_MCM,Platyhelminthes,class,0.9549381543559563,0.9393918412518899
wo_wBCE,Platyhelminthes,class,0.9600994945334431,0.9412764983383038
DeepCOI,Platyhelminthes,class,0.9536393082155059,0.9391136659734962
DeepCOI,Chordata,class,0.9997396988487319,0.9945461734961633
DeepCOI,Mollusca,class,0.9994410640483344,0.9984763116578798
DeepCOI,Annelida,order,0.9633547948932577,0.8856033279933654
wo_MCM,Annelida,order,0.9546020726803857,0.8700018646689723
wo_wBCE,Annelida,order,0.9559498523468131,0.8647084961978727
base,Annelida,order,0.9562848900201163,0.8471548210818347
DeepCOI,Arthropoda,order,0.9985111329981305,0.9744823241963504
base,Arthropoda,order,0.9973946808046741,0.9772310667962695
wo_wBCE,Arthropoda,order,0.9988116320534678,0.9773931747757996
wo_MCM,Arthropoda,order,0.9981994758251672,0.9739422190274004
base,Chordata,order,0.9804232644543223,0.9319049470824038
wo_MCM,Chordata,order,0.989293888333917,0.9547954022847586
base,Cnidaria,order,0.9859198160271624,0.9613612685555728
wo_MCM,Cnidaria,order,0.9821361680372709,0.9610277266518692
wo_wBCE,Cnidaria,order,0.9848025324681158,0.9655804636146136
DeepCOI,Cnidaria,order,0.983547008932868,0.9617407488149721
base,Echinodermata,order,0.9714241985971854,0.9388936702867183
wo_MCM,Echinodermata,order,0.9875870729384186,0.9632696244829525
wo_wBCE,Echinodermata,order,0.973883507922115,0.9436450244162545
DeepCOI,Echinodermata,order,0.9878801817074229,0.9675902658983568
wo_wBCE,Chordata,order,0.9869989809223266,0.9344884893956207
wo_MCM,Mollusca,order,0.9795368014239852,0.9280339830136598
base,Mollusca,order,0.9805627063700311,0.9070943059648027
base,Nematoda,order,0.969637825199732,0.9160512996674933
wo_MCM,Nematoda,order,0.9753656357319034,0.9293228628947818
wo_wBCE,Nematoda,order,0.9716532967953488,0.9137821692661621
wo_wBCE,Mollusca,order,0.9870295553256491,0.9105190395146225
DeepCOI,Nematoda,order,0.972741385992898,0.9120992434751541
base,Platyhelminthes,order,0.9832901431941232,0.9439045496838004
wo_MCM,Platyhelminthes,order,0.9792468268117114,0.9720724136758546
wo_wBCE,Platyhelminthes,order,0.9852500460039595,0.9388746133150463
DeepCOI,Platyhelminthes,order,0.9827376287004777,0.9768829874353268
DeepCOI,Chordata,order,0.9923074859101108,0.9575045174840295
DeepCOI,Mollusca,order,0.989164560386665,0.9309275356414407
DeepCOI,Annelida,family,0.9697345436897463,0.8742279188771603
wo_MCM,Annelida,family,0.961363893821491,0.8693764411607534
wo_wBCE,Annelida,family,0.9494965499034116,0.849287516853567
base,Annelida,family,0.937170382100198,0.840930566662158
DeepCOI,Arthropoda,family,0.9932534896410832,0.9320285268673479
