,class_label,class_pred,class_score,order_label,order_pred,order_score,family_label,family_pred,family_score,genus_label,genus_pred,genus_score,species_label,species_pred,species_score
RRMFA002-15,Insecta,Insecta,0.88432,Diptera,Diptera,0.88432,Chironomidae,Chironomidae,0.88432,Parakiefferiella,Parakiefferiella,0.88432,,Parakiefferiella scandica,0.88432
RRMFA010-15,Insecta,Insecta,0.87386,Diptera,Diptera,0.87386,Chironomidae,Chironomidae,0.87386,Micropsectra,Micropsectra,0.87386,,Micropsectra recurvata,0.87386
RRMFA018-15,Insecta,Insecta,1.0,Diptera,Diptera,1.0,Chironomidae,Chironomidae,1.0,Limnophyes,Limnophyes,1.0,Limnophyes sp. 14ES,Limnophyes sp. 14ES,1.0
RRMFA019-15,Insecta,Insecta,0.86626,Diptera,Diptera,0.86626,Trichoceridae,Simuliidae,0.86626,Trichocera,Simulium,0.86626,,Simulium chumpornense,0.86626
RRMFA027-15,Insecta,Insecta,0.91049,Diptera,Diptera,0.91049,Chironomidae,Chironomidae,0.91049,Orthocladius,Orthocladius,0.91049,,Orthocladius decoratus,0.91049
RRMFA028-15,Insecta,Insecta,0.87976,Diptera,Diptera,0.87976,Chironomidae,Chironomidae,0.87976,,Prosmittia,0.87976,,Prosmittia jemtlandica,0.87976
RRMFA044-15,Insecta,Insecta,0.89335,Diptera,Diptera,0.89335,Mycetophilidae,Mycetophilidae,0.89335,Mycetophila,Mycetophila,0.89335,,Mycetophila perpallida,0.89335
RRMFA398-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Aphrophoridae,Aphrophoridae,1.0,Lepyronia,Lepyronia,1.0,Lepyronia quadrangularis,Lepyronia quadrangularis,1.0
RRMFB087-15,Insecta,Insecta,0.8887,Hemiptera,Hemiptera,0.8887,Cicadellidae,Cicadellidae,0.8887,,Empoasca,0.8887,,Empoasca fabae,0.8887
RRMFC1661-15,Insecta,Insecta,0.99846,Hemiptera,Hemiptera,0.99846,Reduviidae,Reduviidae,0.99846,Zelus,Zelus,0.99846,Zelus luridus,Zelus luridus,0.99846
RRMFC1662-15,Insecta,Insecta,0.8493200000000001,Hemiptera,Hemiptera,0.8493200000000001,,Tessaratomidae,0.8493200000000001,,Tessaratoma,0.8493200000000001,,Tessaratoma papillosa,0.8493200000000001
RRMFC1721-15,Insecta,Insecta,0.8659,Coleoptera,Coleoptera,0.8659,,Staphylinidae,0.8659,,Tachinus,0.8659,,Tachinus fumipennis,0.8659
RRMFC745-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Miridae,Miridae,1.0,Lygocoris,Lygocoris,1.0,Lygocoris pabulinus,Lygocoris pabulinus,1.0
RRMFD447-15,Insecta,Insecta,0.86357,Hymenoptera,Hymenoptera,0.86357,Ichneumonidae,Ichneumonidae,0.86357,,Syrphophilus,0.86357,,Syrphophilus bizonarius,0.86357
RRMFD455-15,Insecta,Insecta,0.8780500000000001,Hymenoptera,Hymenoptera,0.8780500000000001,Ichneumonidae,Ichneumonidae,0.8780500000000001,,Dusona,0.8780500000000001,,Dusona minor,0.8780500000000001
RRMFD463-15,Insecta,Insecta,0.88668,Hymenoptera,Hymenoptera,0.88668,Ichneumonidae,Ichneumonidae,0.88668,,Phygadeuon,0.88668,,Phygadeuon cephalotes,0.88668
RRMFD469-15,Insecta,Insecta,0.9102,Hymenoptera,Hymenoptera,0.9102,Halictidae,Halictidae,0.9102,Lasioglossum,Lasioglossum,0.9102,,Lasioglossum villosulum,0.9102
RRMFD473-15,Insecta,Insecta,0.87261,Hymenoptera,Hymenoptera,0.87261,Ichneumonidae,Ichneumonidae,0.87261,,Mesoleptus,0.87261,,Mesoleptus congener,0.87261
