,class_label,class_pred,class_score,order_label,order_pred,order_score,family_label,family_pred,family_score,genus_label,genus_pred,genus_score,species_label,species_pred,species_score
RRMFE1128-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Eulophidae,Eulophidae,0.9930,Aprostocetus,Deutereulophus,0.0100,,Deutereulophus Malaise6791,0.0013
RRMPC002-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Cicadellidae,Cicadellidae,1.0000,Dikraneura,Dikraneura,0.9313,Dikraneura mali,Dikraneura mali,0.9313
RRMFC1721-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,,Chrysomelidae,1.0000,,Pentaria,0.0151,,Pentaria trifasciata,0.0151
RRMFE1160-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Encyrtidae,Encyrtidae,0.6625,,encyrMalaise01,0.0643,,Aenasius arizonensis,0.0110
RRMFD541-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,crypMalaise01,0.0144,,Cimex hemipterus,0.0052
RRMFB087-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Cicadellidae,Cicadellidae,1.0000,,Empoasca,0.9999,,Empoasca luda,0.0182
RRMPD001-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Cicadellidae,Cicadellidae,1.0000,Agallia,Agallia,0.9993,Agallia quadripunctata,Agallia quadripunctata,0.9993
RRMFA055-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,,Tvetenia,0.1329,,Tvetenia paucunca,0.1329
RRMFD462-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,0.9963,Braconidae,Braconidae,0.4033,Meteorus,Meteorus,0.0992,,Opius Thiemanastrepha sp. A MC2013,0.0120
RRMFE1102-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Dryinidae,Agaonidae,0.0051,,Blastophaga,0.0020,,Blastophaga nipponica,0.0020
RRMFI2562-15,Arachnida,Arachnida,1.0000,Mesostigmata,Mesostigmata,0.9882,Macrochelidae,Ologamasidae,0.0018,Macrocheles,Cheyletus,0.0004,,Cheyletus malaccensis,0.0004
RRMFI2578-15,Arachnida,Arachnida,0.9347,Sarcoptiformes,Sarcoptiformes,0.2157,,Eriophyidae,0.0178,,Coelosia,0.0091,,Coelosia tenella,0.0091
RRMFD495-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Carabidae,Carabidae,1.0000,,Chlaenius,0.0029,,Notiophilus aeneus,0.0003
RRMFI2980-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Staphylinidae,Staphylinidae,0.9997,,Podabrus,0.0078,,Podabrus rugosulus,0.0078
RRMFI2983-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Mordellidae,Mordellidae,0.0210,Mordellistena,Mordellaria,0.0068,,Mordellaria serval,0.0068
RRMFI2994-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Curculionidae,Curculionidae,1.0000,,Curculio,0.0022,,Curculio sikkimensis,0.0022
RRMFI2988-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Eucnemidae,Eucnemidae,0.1327,Microrhagus,Microrhagus,0.0074,,Microrhagus triangularis,0.0074
RRMFD473-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,tersiMalaise01,0.0029,,tersiMalaise01 Malaise8279,0.0029
RRMFI2984-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Latridiidae,Latridiidae,0.9996,Melanophthalma,Melanophthalma,0.9963,Melanophthalma pumila,Melanophthalma pumila,0.9791
RRMFI2990-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Anthicidae,Cerambycidae,0.9815,,Limonius,0.0005,,Limonius aeger,0.0005
RRMFD470-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,Neotheronia,0.1479,,Neotheronia Malaise8877,0.1479
RRMFI2566-15,Arachnida,Arachnida,1.0000,Mesostigmata,Mesostigmata,1.0000,Phytoseiidae,Ascidae,0.0207,,Arctoseius,0.0207,,Laelaps muricola,0.0080
RRMFC745-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Miridae,Miridae,1.0000,Lygocoris,Lygocoris,0.9683,Lygocoris pabulinus,Lygocoris pabulinus,0.9683
RRMFE1168-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,0.9840,Braconidae,Braconidae,0.7632,Bracon,Bracon,0.0304,,Bracon juliodiazi,0.0303
RRMFI2534-15,Arachnida,Arachnida,1.0000,Mesostigmata,Mesostigmata,1.0000,Parasitidae,Parasitidae,0.0014,,Poecilochirus,0.0008,,Poecilochirus carabi,0.0008
RRMFD447-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,Lissonota,0.0119,,Lissonota coracina,0.0015
RRMFE929-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Tortricidae,Tortricidae,1.0000,,Olethreutes,0.7633,,Olethreutes bipartitana,0.0914
RRMFD448-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,Cratichneumon,0.2210,,Cratichneumon viator,0.0142
RRMFD540-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Ichneumonidae,Ichneumonidae,1.0000,,Aclastus,0.0110,,Aclastus solutus,0.0110
RRMFA044-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Mycetophilidae,Mycetophilidae,1.0000,Mycetophila,Mycetophila,0.9999,,Mycetophila luctuosa,0.7954
RRMFA027-15,Insecta,Insecta,1.0000,Diptera,Diptera,1.0000,Chironomidae,Chironomidae,1.0000,Orthocladius,Orthocladius,1.0000,,Orthocladius decoratus,0.1485
RRMFA398-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Aphrophoridae,Aphrophoridae,0.9999,Lepyronia,Lepyronia,0.9999,Lepyronia quadrangularis,Lepyronia quadrangularis,0.9999
RRMFC1661-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Reduviidae,Reduviidae,0.9999,Zelus,Zelus,0.9994,Zelus luridus,Zelus luridus,0.9994
RRMFD483-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Gelechiidae,Gelechiidae,1.0000,Dichomeris,Dichomeris,0.9992,Dichomeris ligulella,Dichomeris ligulella,0.9720
RRMFD526-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Leiodidae,Cantharidae,0.0017,,Podabrus,0.0017,,Podabrus rugosulus,0.0017
RRMFE1092-15,Insecta,Insecta,1.0000,Hymenoptera,Hymenoptera,1.0000,Braconidae,Braconidae,1.0000,,Microplitis,0.0019,,Microplitis lugubris,0.0019
RRMFG2345-15,Insecta,Insecta,1.0000,Lepidoptera,Lepidoptera,1.0000,Nymphalidae,Nymphalidae,1.0000,Phyciodes,Phyciodes,0.9987,Phyciodes cocyta,Phyciodes pulchella,0.4826
RRMPA083-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Miridae,Miridae,1.0000,Lygus,Lygus,1.0000,Lygus lineolaris,Lygus lineolaris,0.9908
RRMPB4209-15,Insecta,Insecta,1.0000,Coleoptera,Coleoptera,1.0000,Chrysomelidae,Chrysomelidae,1.0000,,Pyrrhalta,0.1944,,Pyrrhalta viburni,0.1944
RRMFB011-15,Insecta,Insecta,1.0000,Hemiptera,Hemiptera,1.0000,Cicadellidae,Cicadellidae,1.0000,Hymetta,Hymetta,0.9983,Hymetta balteata,Hymetta balteata,0.9983
