,class_label,class_pred,class_score,order_label,order_pred,order_score,family_label,family_pred,family_score,genus_label,genus_pred,genus_score,species_label,species_pred,species_score
RRMFA002-15,Insecta,Insecta,0.99,Diptera,Diptera,0.98,Chironomidae,Limoniidae,0.72,Parakiefferiella,Dicranomyia,0.72,,Dicranomyia sp.,0.72
RRMFA010-15,Insecta,Insecta,0.98,Diptera,Diptera,0.88,Chironomidae,Limoniidae,0.55,Micropsectra,Dicranomyia,0.55,,Dicranomyia sp.,0.55
RRMFA018-15,Insecta,Insecta,1.0,Diptera,Diptera,1.0,Chironomidae,Chironomidae,1.0,Limnophyes,Limnophyes,1.0,Limnophyes sp. 14ES,Limnophyes sp. 14ES,1.0
RRMFA019-15,Insecta,Insecta,0.98,Diptera,Diptera,0.96,Trichoceridae,Limoniidae,0.85,Trichocera,Dicranomyia,0.85,,Dicranomyia sp.,0.85
RRMFA027-15,Insecta,Insecta,1.0,Diptera,Diptera,0.99,Chironomidae,Limoniidae,0.44,Orthocladius,Dicranomyia,0.44,,Dicranomyia sp.,0.44
RRMFA028-15,Insecta,Insecta,1.0,Diptera,Diptera,0.95,Chironomidae,Limoniidae,0.63,,Dicranomyia,0.63,,Dicranomyia sp.,0.63
RRMFA044-15,Insecta,Insecta,1.0,Diptera,Diptera,0.82,Mycetophilidae,Limoniidae,0.45,Mycetophila,Dicranomyia,0.45,,Dicranomyia sp.,0.45
RRMFA398-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Aphrophoridae,Aphrophoridae,1.0,Lepyronia,Lepyronia,1.0,Lepyronia quadrangularis,Lepyronia quadrangularis,1.0
RRMFB087-15,Insecta,Insecta,0.94,Hemiptera,Hemiptera,0.87,Cicadellidae,Cicadellidae,0.87,,Empoasca,0.87,,Empoasca fabae,0.54
RRMFC1661-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Reduviidae,Reduviidae,1.0,Zelus,Zelus,1.0,Zelus luridus,Zelus luridus,1.0
RRMFC1662-15,Insecta,Chilopoda,0.41,Hemiptera,Scolopendromorpha,0.41,,Scolopendridae,0.41,,Scolopendra,0.41,,Scolopendra subspinipes,0.41
RRMFC1721-15,Insecta,Insecta,1.0,Coleoptera,Lepidoptera,0.41,,Apatelodidae,0.31,,Apatelodes,0.31,,Apatelodes sp.,0.31
RRMFC745-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Miridae,Miridae,1.0,Lygocoris,Lygocoris,1.0,Lygocoris pabulinus,Lygocoris pabulinus,1.0
RRMFD447-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.96,,Mesochorus,0.45,,Mesochorus sp.,0.45
RRMFD455-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.75,,Mesochorus,0.36,,Mesochorus sp.,0.36
RRMFD463-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.86,,Gelis,0.54,,Gelis sp.,0.54
RRMFD469-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Halictidae,Halictidae,0.95,Lasioglossum,Lasioglossum,0.95,,Lasioglossum inconditum,0.46
RRMFD473-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.83,,Gelis,0.51,,Gelis sp.,0.51
RRMFD480-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Lasiocampidae,Lasiocampidae,1.0,Malacosoma,Malacosoma,1.0,Malacosoma disstria,Malacosoma disstria,1.0
RRMFD483-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Gelechiidae,Gelechiidae,1.0,Dichomeris,Dichomeris,1.0,Dichomeris ligulella,Dichomeris ligulella,1.0
RRMFD495-15,Insecta,Insecta,1.0,Coleoptera,Coleoptera,0.73,Carabidae,Carabidae,0.73,,Selenophorus,0.46,,Selenophorus sp.,0.45
RRMFD526-15,Insecta,Insecta,0.97,Coleoptera,Diptera,0.42,Leiodidae,Limoniidae,0.14,,Dicranomyia,0.14,,Dicranomyia sp.,0.14
RRMFD538-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,1.0,Cryptus,Cryptus,1.0,Cryptus albitarsis,Cryptus albitarsis,1.0
RRMFD541-15,Insecta,Insecta,0.99,Hymenoptera,Hymenoptera,0.99,Ichneumonidae,Ichneumonidae,0.86,,Mesochorus,0.32,,Mesochorus sp.,0.32
RRMFE1092-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Braconidae,Braconidae,0.81,,Glyptapanteles,0.6,,Glyptapanteles sp.,0.6
RRMFE1116-15,Insecta,Insecta,0.9,Hymenoptera,Hymenoptera,0.73,Platygastridae,Ichneumonidae,0.25,,Mesochorus,0.22,,Mesochorus sp.,0.22
RRMFE1143-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,0.98,Figitidae,Figitidae,0.64,,Ganaspis,0.54,,Ganaspis brasiliensis,0.54
RRMFE1152-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Eulophidae,Pteromalidae,0.6,,Pteromalus,0.51,,Pteromalus phycidis,0.51
RRMFE1160-15,Insecta,Insecta,0.96,Hymenoptera,Hymenoptera,0.96,Encyrtidae,Pteromalidae,0.59,,Pteromalus,0.53,,Pteromalus phycidis,0.53
RRMFE1168-15,Insecta,Insecta,0.88,Hymenoptera,Hymenoptera,0.85,Braconidae,Braconidae,0.7,Bracon,Heterospilus,0.67,,Heterospilus sp.,0.67
RRMFE2511-15,Insecta,Insecta,1.0,Hemiptera,Hemiptera,1.0,Pentatomidae,Pentatomidae,1.0,Podisus,Podisus,1.0,,Podisus maculiventris,1.0
RRMFE929-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Tortricidae,Tortricidae,0.7,,Olethreutes,0.42,,Olethreutes fasciatana,0.4
RRMFG2330-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Geometridae,Geometridae,1.0,Anticlea,Anticlea,1.0,Anticlea multiferata,Anticlea multiferata,1.0
RRMFG2334-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Noctuidae,Noctuidae,1.0,Maliattha,Maliattha,1.0,Maliattha synochitis,Maliattha synochitis,1.0
RRMFG2344-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Hesperiidae,Hesperiidae,1.0,Lon,Lon,1.0,Lon hobomok,Lon hobomok,1.0
RRMFG2345-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Nymphalidae,Nymphalidae,1.0,Phyciodes,Phyciodes,1.0,Phyciodes cocyta,Phyciodes cocyta,0.99
RRMFG2352-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Nymphalidae,Nymphalidae,1.0,Coenonympha,Coenonympha,1.0,Coenonympha california,Coenonympha california,1.0
RRMFG2353-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Geometridae,Geometridae,1.0,Campaea,Campaea,1.0,Campaea perlata,Campaea perlata,1.0
RRMFG2709-15,Insecta,Insecta,0.9,Hymenoptera,Hymenoptera,0.89,Ichneumonidae,Vespidae,0.56,,Ropalidia,0.56,,Ropalidia sp.,0.56
RRMFG2715-15,Insecta,Insecta,1.0,Hymenoptera,Hymenoptera,1.0,Ichneumonidae,Ichneumonidae,0.98,,Mesochorus,0.4,,Mesochorus sp.,0.39
RRMFG3263-15,Insecta,Insecta,1.0,Lepidoptera,Lepidoptera,1.0,Noctuidae,Noctuidae,0.97,,Apamea,0.55,,Apamea devastator,0.47
RRMFI2519-15,Arachnida,Collembola,0.33,Mesostigmata,Entomobryomorpha,0.33,Parasitidae,Entomobryidae,0.2,,Heteromurus,0.2,,Heteromurus nitidus,0.2
RRMFI2521-15,Arachnida,Insecta,0.62,Mesostigmata,Lepidoptera,0.34,,Apatelodidae,0.28,,Apatelodes,0.28,,Apatelodes sp.,0.28
RRMFI2522-15,Arachnida,Chilopoda,0.37,Mesostigmata,Scolopendromorpha,0.37,,Scolopendridae,0.37,,Scolopendra,0.37,,Scolopendra subspinipes,0.37
RRMFI2523-15,Arachnida,Arachnida,1.0,Mesostigmata,Mesostigmata,1.0,Parasitidae,Parasitidae,1.0,Poecilochirus,Poecilochirus,1.0,,Poecilochirus carabi,1.0
RRMFI2532-15,Arachnida,Chilopoda,0.08,Trombidiformes,Scolopendromorpha,0.08,,Scolopendridae,0.08,,Scolopendra,0.08,,Scolopendra subspinipes,0.08
RRMFI2534-15,Arachnida,Collembola,0.29,Mesostigmata,Entomobryomorpha,0.29,Parasitidae,Entomobryidae,0.2,,Heteromurus,0.2,,Heteromurus nitidus,0.2
RRMFI2554-15,Arachnida,Insecta,0.53,Trombidiformes,Coleoptera,0.41,,Curculionidae,0.41,,Trigonopterus,0.41,,Trigonopterus sp.,0.41
RRMFI2562-15,Arachnida,Malacostraca,0.43,Mesostigmata,Amphipoda,0.24,Macrochelidae,Niphargidae,0.24,Macrocheles,Niphargus,0.24,,Niphargus sp.,0.24
RRMFI2566-15,Arachnida,Insecta,0.93,Mesostigmata,Hymenoptera,0.9,Phytoseiidae,Formicidae,0.71,,Tetramorium,0.64,,Tetramorium sp.,0.64
RRMFI2578-15,Arachnida,Arachnida,0.86,Sarcoptiformes,Sarcoptiformes,0.73,,Phthiracaridae,0.68,,Steganacarus,0.68,,Steganacarus magnus,0.68
RRMFI2980-15,Insecta,Insecta,0.94,Coleoptera,Diptera,0.56,Staphylinidae,Limoniidae,0.51,,Dicranomyia,0.51,,Dicranomyia sp.,0.51
RRMFI2983-15,Insecta,Insecta,0.79,Coleoptera,Coleoptera,0.74,Mordellidae,Curculionidae,0.73,Mordellistena,Trigonopterus,0.73,,Trigonopterus sp.,0.73
RRMFI2984-15,Insecta,Insecta,1.0,Coleoptera,Coleoptera,1.0,Latridiidae,Latridiidae,1.0,Melanophthalma,Melanophthalma,1.0,Melanophthalma pumila,Melanophthalma pumila,1.0
